iter	Passed	Remaining
886	1464	186
887	1465	184
888	1467	183
889	1469	181
890	1471	180
891	1473	178
892	1474	176
893	1476	175
894	1478	173
895	1479	171
896	1482	170
897	1483	168
898	1485	166
899	1487	165
900	1488	163
901	1490	161
902	1492	160
903	1494	158
904	1495	157
905	1497	155
906	1498	153
907	1500	152
908	1502	150
909	1504	148
910	1505	147
911	1506	145
912	1508	143
913	1509	142
914	1510	140
915	1512	138
916	1514	137
917	1516	135
918	1518	133
919	1519	132
920	1521	130
921	1523	128
922	1525	127
923	1526	125
924	1528	123
925	1529	122
926	1530	120
927	1532	118
928	1534	117
929	1536	115
930	1537	113
931	1539	112
932	1541	110
933	1543	109
934	1544	107
935	1546	105
936	1547	104
937	1549	102
938	1551	100
939	1552	99
940	1554	97
941	1555	95
942	1558	94
943	1560	92
944	1562	90
945	1564	89
946	1566	87
947	1567	85
948	1568	84
949	1570	82
950	1572	81
951	1575	79
952	1577	77
953	1579	76
954	1581	74
955	1583	72
956	1584	71
957	1585	69
958	1587	67
959	1589	66
960	1590	64
961	1592	62
962	1593	61
963	1596	59
964	1598	57
965	1600	56
966	1602	54
967	1604	53
968	1606	51
969	1608	49
970	1610	48
971	1612	46
972	1613	44
973	1614	43
974	1616	41
975	1618	39
976	1619	38
977	1621	36
978	1623	34
979	1625	33
980	1627	31
981	1628	29
982	1630	28
983	1631	26
984	1633	24
985	1634	23
986	1635	21
987	1637	19
988	1639	18
989	1641	16
990	1642	14
991	1645	13
992	1646	11
993	1648	9
994	1650	8
995	1652	6
996	1654	4
997	1655	3
998	1657	1
999	1658	0
